query_id,doc_id,total_nnz,unused_nnz,unused_pct
0,1507685,55,55,100.00
0,2430150,65,63,96.92
0,2430150,65,63,96.92
0,2021708,81,80,98.77
0,1350132,83,83,100.00
0,2489407,72,71,98.61
0,2021072,96,95,98.96
0,2317720,76,76,100.00
0,2495710,38,38,100.00
0,969413,40,40,100.00
0,361314,68,68,100.00
0,571007,62,61,98.39
0,1408718,57,57,100.00
0,1704183,83,83,100.00
0,2550846,31,31,100.00
0,2430150,65,63,96.92
0,715939,65,65,100.00
0,1282420,31,31,100.00
0,1215829,57,56,98.25
0,299204,87,86,98.85
0,192858,76,74,97.37
0,1863094,70,69,98.57
0,1438629,75,75,100.00
0,1518675,79,77,97.47
0,1062929,83,82,98.80
0,727073,64,64,100.00
0,1225619,133,133,100.00
0,136339,73,72,98.63
0,473209,84,84,100.00
0,2076399,72,70,97.22
0,1490864,75,75,100.00
0,1392360,23,21,91.30
0,1813693,60,57,95.00
0,2273824,86,86,100.00
0,781217,108,107,99.07
0,321707,82,82,100.00
0,2208725,80,78,97.50
0,2336070,76,74,97.37
0,1753889,111,107,96.40
0,2675146,83,83,100.00
0,1336846,107,106,99.07
0,544029,73,73,100.00
0,2051384,85,84,98.82
0,837465,68,67,98.53
0,921437,105,104,99.05
0,1765162,115,110,95.65
0,1771550,94,90,95.74
0,2658936,83,81,97.59
0,2386553,93,93,100.00
0,169155,113,113,100.00
0,1697453,98,97,98.98
0,2140876,60,57,95.00
0,1542259,94,91,96.81
0,2296267,79,75,94.94
0,1525118,75,74,98.67
0,365283,87,85,97.70
0,464269,113,112,99.12
0,1094573,23,23,100.00
0,2602056,74,74,100.00
0,1613749,65,64,98.46
0,1474013,89,89,100.00
0,845843,71,71,100.00
0,420108,62,60,96.77
0,1259791,37,36,97.30
0,2062376,49,48,97.96
0,2267807,106,101,95.28
0,2326811,91,89,97.80
0,1234666,56,51,91.07
0,1354595,96,95,98.96
0,2060399,87,87,100.00
0,2086545,41,38,92.68
0,2679431,139,139,100.00
0,839388,123,122,99.19
0,211502,103,103,100.00
0,1600138,69,67,97.10
0,655711,82,79,96.34
0,2640775,113,111,98.23
0,1397004,114,112,98.25
0,478088,84,84,100.00
0,1318972,118,118,100.00
0,842762,47,45,95.74
0,2217864,77,77,100.00
0,2642978,98,97,98.98
0,1833066,69,66,95.65
0,276395,61,61,100.00
0,2638499,90,87,96.67
0,1214457,80,78,97.50
0,2177980,64,61,95.31
0,1765162,115,110,95.65
0,1765161,109,105,96.33
0,174495,82,77,93.90
0,2512840,115,112,97.39
0,289410,75,71,94.67
0,1477428,117,114,97.44
0,2100352,94,90,95.74
0,1606743,84,81,96.43
0,798383,78,78,100.00
0,202491,78,72,92.31
0,1922425,68,65,95.59
0,1496392,92,91,98.91
0,1959199,105,101,96.19
0,13308,77,73,94.81
0,2320451,109,105,96.33
0,521936,100,97,97.00
0,480207,92,91,98.91
0,413649,68,66,97.06
0,2596771,75,72,96.00
0,1849023,81,80,98.77
0,1294755,79,76,96.20
0,1659954,98,97,98.98
0,1234666,56,51,91.07
0,1839407,77,76,98.70
0,659365,83,83,100.00
0,1454608,70,70,100.00
0,1015142,95,92,96.84
0,2642623,74,74,100.00
0,1117876,100,100,100.00
0,1597404,34,26,76.47
0,2067198,93,93,100.00
0,2499879,94,87,92.55
0,2406737,101,97,96.04
0,815210,92,89,96.74
0,2573419,86,81,94.19
0,2378981,93,93,100.00
0,1151050,43,41,95.35
0,2358614,101,99,98.02
0,1413378,92,89,96.74
0,1561935,87,87,100.00
0,2128220,105,101,96.19
0,531597,90,89,98.89
0,1246049,79,75,94.94
0,693814,111,110,99.10
0,830583,84,80,95.24
0,2294193,88,85,96.59
0,1231794,71,70,98.59
0,2225340,79,77,97.47
0,351510,110,108,98.18
0,1947929,92,92,100.00
0,2545121,96,96,100.00
0,2413498,85,82,96.47
0,2039999,74,70,94.59
0,610604,128,126,98.44
0,674763,68,63,92.65
0,885745,93,91,97.85
0,268852,115,115,100.00
0,1321905,75,74,98.67
0,901433,113,109,96.46
0,1797687,64,63,98.44
0,512563,73,70,95.89
0,17215,75,70,93.33
0,1934365,122,113,92.62
0,406140,96,93,96.88
0,2401751,118,114,96.61
0,1708151,116,116,100.00
0,1934360,77,71,92.21
0,1871507,97,95,97.94
0,2215536,103,101,98.06
0,1695004,117,113,96.58
0,1406031,125,121,96.80
0,101073,118,110,93.22
0,2564262,101,98,97.03
0,321333,106,106,100.00
0,768965,81,77,95.06
0,2032774,98,95,96.94
0,2205353,90,86,95.56
0,1787107,93,91,97.85
0,1166215,53,49,92.45
0,995368,100,91,91.00
0,746850,90,86,95.56
0,432656,74,71,95.95
0,1772651,83,82,98.80
0,1958976,85,81,95.29
0,355602,72,70,97.22
0,2604876,98,96,97.96
0,2388401,82,76,92.68
0,551770,119,117,98.32
0,19205,98,94,95.92
0,971242,94,88,93.62
0,926011,78,73,93.59
0,1891742,66,62,93.94
0,498114,113,109,96.46
0,121836,107,101,94.39
0,1589929,78,75,96.15
0,97235,96,92,95.83
0,291269,21,15,71.43
0,291309,24,17,70.83
0,291328,31,24,77.42
0,333219,87,84,96.55
0,700327,108,103,95.37
0,859355,111,105,94.59
0,923050,142,140,98.59
